Date,s_p,GDP,Real_GDP,Resi_Pop,Elec,Unemp,house,money_sup,prod,cpi,pers_cosum,security,gold_price_perc,mortgage_perc,nat_gas_perc,corn_perc
7/1/2003,-0.0030,0.0085,0.0050,0.0010,0.0000,-0.0164,-0.0349,0.0095,-0.0022,0.0043,0.0121,0.1056,0.02,0.10,-0.01,0.03
8/1/2003,0.0302,0.0083,0.0058,0.0009,0.0000,0.0000,0.0547,-0.0046,0.0065,0.0032,0.0002,-0.0422,0.05,-0.02,-0.08,0.03
9/1/2003,0.0189,0.0031,0.0013,0.0009,-0.0538,-0.0167,0.0142,-0.0015,0.0013,-0.0011,0.0017,0.0047,0.00,-0.03,0.00,0.01
10/1/2003,0.0108,0.0073,0.0059,0.0008,-0.0333,-0.0345,0.0557,0.0009,0.0068,0.0005,0.0070,0.0023,0.03,0.00,-0.04,0.04
11/1/2003,0.0293,0.0038,0.0022,0.0007,0.0000,-0.0175,-0.0126,-0.0003,0.0005,0.0027,0.0035,-0.0070,0.04,-0.01,0.27,0.03
12/1/2003,0.0480,-0.0021,-0.0053,0.0007,0.0110,0.0000,-0.0764,0.0013,0.0017,0.0043,0.0071,-0.0289,0.02,-0.03,0.00,0.04
1/1/2004,0.0096,0.0101,0.0081,0.0006,0.0000,-0.0179,-0.0352,0.0063,0.0060,0.0021,0.0041,-0.0172,-0.02,-0.01,-0.14,0.05
2/1/2004,-0.0170,0.0093,0.0063,0.0006,0.0000,0.0345,0.0761,0.0058,-0.0038,0.0021,0.0072,-0.0653,0.00,-0.03,0.00,0.04
3/1/2004,0.0083,-0.0001,-0.0029,0.0008,0.0000,-0.0357,0.0025,0.0066,0.0041,0.0016,0.0010,0.1195,-0.01,0.07,0.06,0.04
4/1/2004,-0.0270,0.0115,0.0087,0.0008,0.0215,0.0000,-0.0111,0.0123,0.0072,0.0043,0.0085,0.0784,-0.05,0.07,0.10,-0.03
5/1/2004,0.0272,-0.0041,-0.0066,0.0008,0.0606,0.0000,-0.0837,0.0004,-0.0078,0.0037,-0.0023,0.0021,0.02,0.00,-0.01,-0.05
6/1/2004,-0.0238,0.0124,0.0089,0.0008,0.0000,-0.0182,0.0869,0.0022,0.0074,0.0011,0.0096,-0.0511,0.01,-0.04,-0.06,-0.18
7/1/2004,-0.0153,0.0017,0.0025,0.0009,0.0100,-0.0185,0.0109,0.0042,0.0009,0.0005,0.0042,-0.0514,0.01,-0.03,-0.10,0.00
